City Name,State Abbreviation,State Name,City State
Salt Lake City,UT,Utah,"Salt Lake City, UT"
West Valley City,UT,Utah,"West Valley City, UT"
Provo,UT,Utah,"Provo, UT"
West Jordan,UT,Utah,"West Jordan, UT"
Orem,UT,Utah,"Orem, UT"
Sandy,UT,Utah,"Sandy, UT"
Ogden,UT,Utah,"Ogden, UT"
St. George,UT,Utah,"St. George, UT"
Layton,UT,Utah,"Layton, UT"
Taylorsville,UT,Utah,"Taylorsville, UT"
