City Name,State Abbreviation,State Name,City State
Cheyenne,WY,Wyoming,"Cheyenne, WY"
Casper,WY,Wyoming,"Casper, WY"
Laramie,WY,Wyoming,"Laramie, WY"
Gillette,WY,Wyoming,"Gillette, WY"
Rock Springs,WY,Wyoming,"Rock Springs, WY"
Sheridan,WY,Wyoming,"Sheridan, WY"
Green River,WY,Wyoming,"Green River, WY"
Evanston,WY,Wyoming,"Evanston, WY"
Riverton,WY,Wyoming,"Riverton, WY"
Jackson,WY,Wyoming,"Jackson, WY"
