City Name,State Abbreviation,State Name,City State
New York City,NY,New York,"New York City, NY"
Los Angeles,NY,New York,"Los Angeles, NY"
Chicago,NY,New York,"Chicago, NY"
Houston,NY,New York,"Houston, NY"
Phoenix,NY,New York,"Phoenix, NY"
Philadelphia,NY,New York,"Philadelphia, NY"
San Antonio,NY,New York,"San Antonio, NY"
San Diego,NY,New York,"San Diego, NY"
Dallas,NY,New York,"Dallas, NY"
San Jose,NY,New York,"San Jose, NY"
